id,name,latitude,longitude,start_trips,end_trips,total_trips
403,Marion St at Harvard St,42.34012242696642,-71.12070563810447,1873,1916,3789
195,Child Street at Brian P. Murphy Staircase,42.37197678467975,-71.07200495972167,1522,1487,3009
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,931,956,1887
484,Revere Public Library,42.408088,-71.008942,61,82,143
417,Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,1957,1985,3942
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,2063,1814,3877
35,Arch St at Franklin St,42.35533501941256,-71.0582291708306,2280,2514,4794
397,Broadway at Beacham St,42.39836059620832,-71.06373842814719,274,293,567
162,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,164,96,260
435,Central Ave at River St,42.27094707029229,-71.07337901405117,74,86,160
119,South Boston Library - 646 E Broadway,42.335741,-71.03877,1483,1528,3011
379,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,1451,1442,2893
59,Chinatown Gate Plaza,42.351356,-71.05936700000001,1838,1875,3713
213,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.03943100000001,506,516,1022
126,Egleston Square - Atherton St at Washington St,42.315692,-71.09863399999999,446,408,854
161,W Broadway at D St,42.3391085,-71.05144320000001,2093,2124,4217
37,New Balance - 20 Guest St,42.357329218677066,-71.14673539996147,686,710,1396
346,Cleveland Circle,42.335543083570826,-71.15061519672051,758,708,1466
173,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,287,330,617
336,Mattapan T Stop,42.267902,-71.093641,63,76,139
135,ID Building East,42.344827,-71.028664,362,384,746
69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,2039,2016,4055
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.04535996913908,874,862,1736
73,Harvard Square at Brattle St / Eliot St,42.373328798874056,-71.12098601080106,3680,3945,7625
495,Union Square East,42.380078000000005,-71.090098,1071,1094,2165
354,Washington St at Egremont Rd,42.3428683507196,-71.14127840855872,822,759,1581
460,Broad St at Central St,42.358494490393035,-71.05426469875967,900,891,1791
96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,2542,2554,5096
